,Date,Listing_ID,Ordered_Quantity,Avg_Num_Of_Listings,Top_Rank_Share,Product_ID,Category_ID,Demand
121800,01/10/2016,16622000,0,10.38,0.21,64cd904de75856e2760661db85234b32,2514571011,0
121802,01/10/2016,16622000,0,10.38,0.21,64cd904de75856e2760661db85234b32,2489736011,0
3582,02/10/2016,9998746,0,18.78,0.31,360a9b8f9aa509ef555b09304fd631bd,166363011,0
3880,03/10/2016,9998746,0,19.2,0.37,360a9b8f9aa509ef555b09304fd631bd,166363011,0
4826,02/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,1265807011,0
4828,02/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,166221011,0
5380,03/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,1265807011,0
5382,03/10/2016,5965540,0,1,1,e9fb8174ff5546a25daccdaa55bc7c92,166221011,0
5934,02/10/2016,11100546,0,5,0.7,c35994999adb4042b5ddfdba36649bd4,166363011,0
6160,03/10/2016,11100546,0,5,0.65,c35994999adb4042b5ddfdba36649bd4,166363011,0
9596,02/10/2016,6376734,0,3,0.48,915adf3b5f5b01c6440c0c67dfd74340,1272924011,0
9935,03/10/2016,6376734,0,3,0.47,915adf3b5f5b01c6440c0c67dfd74340,1272924011,0
11590,02/10/2016,7003480,0,1,1,8b22a3d39958f30936d438edc4996abf,166363011,0
11863,03/10/2016,7003480,0,1,1,8b22a3d39958f30936d438edc4996abf,166363011,0
14208,02/10/2016,9737306,0,2,0.42,6afe3752d4521a44c4eb6d2a9ba59406,2975303011,0
14209,02/10/2016,9737306,0,2,0.42,6afe3752d4521a44c4eb6d2a9ba59406,2975419011,0
14824,03/10/2016,9737306,0,2,0.46,6afe3752d4521a44c4eb6d2a9ba59406,2975303011,0
14825,03/10/2016,9737306,0,2,0.46,6afe3752d4521a44c4eb6d2a9ba59406,2975419011,0
15440,02/10/2016,9754602,0,1,1,6b615bac62e640bd5e81f6b86c833da9,2975414011,0
15687,03/10/2016,9754602,0,1,1,6b615bac62e640bd5e81f6b86c833da9,2975414011,0
22966,02/10/2016,12665218,0,1,1,93c89b5cfb444ecdc8c55daa3e5c8ab2,166355011,0
23208,03/10/2016,12665218,0,1,1,93c89b5cfb444ecdc8c55daa3e5c8ab2,166355011,0
23450,02/10/2016,12665482,0,1,1,3cef7beb6cca98f50d122e0175bead16,166355011,0
23692,03/10/2016,12665482,0,1,1,3cef7beb6cca98f50d122e0175bead16,166355011,0
25824,02/10/2016,12673058,0,1,1,65bfaec9e767597c6c4f625cb5345765,166355011,0
26066,03/10/2016,12673058,0,1,1,65bfaec9e767597c6c4f625cb5345765,166355011,0
32384,02/10/2016,12836798,1,2.74,1,d94c64078944697cc48b083ea9b4a5d1,166355011,1
32626,03/10/2016,12836798,0,2,1,d94c64078944697cc48b083ea9b4a5d1,166355011,0
33352,02/10/2016,12844574,0,2,1,1428d14f75887f3eb6e4a7fa9c0f5183,166355011,0
33594,03/10/2016,12844574,2,2,1,1428d14f75887f3eb6e4a7fa9c0f5183,166355011,2
33836,02/10/2016,12844862,0,2.74,1,d94c64078944697cc48b083ea9b4a5d1,166355011,0
34078,03/10/2016,12844862,0,2,1,d94c64078944697cc48b083ea9b4a5d1,166355011,0
37168,02/10/2016,13141476,0,1,1,9d828301f512b573ccb87997c2708c50,166355011,0
37410,03/10/2016,13141476,0,1,1,9d828301f512b573ccb87997c2708c50,166355011,0
51690,02/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,2488756011,0
51692,02/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,166064011,0
51996,03/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,2488756011,0
51998,03/10/2016,14744612,0,2,1,0a4c804346d3d82539e59f9748792112,166064011,0
52302,02/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166039011,0
52304,02/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166356011,0
52688,03/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166039011,0
52690,03/10/2016,16020296,0,3,1,e012464369e2257a67aea3d0ffe96876,166356011,0
53298,02/10/2016,13446426,0,2,0.46,957da26bb118dde9b6ed58e34ddacfc2,166337011,0
53301,02/10/2016,13446426,0,2,0.46,957da26bb118dde9b6ed58e34ddacfc2,166461011,0
53646,03/10/2016,13446426,0,2,0.55,957da26bb118dde9b6ed58e34ddacfc2,166337011,0
53649,03/10/2016,13446426,0,2,0.55,957da26bb118dde9b6ed58e34ddacfc2,166461011,0
57170,02/10/2016,14649330,0,4,0.21,a63a46f6c1285b42762b71b1de3f979f,355616011,0
57171,02/10/2016,14649330,0,4,0.21,a63a46f6c1285b42762b71b1de3f979f,166420011,0
57262,03/10/2016,14649330,0,4,0.2,a63a46f6c1285b42762b71b1de3f979f,355616011,0
57263,03/10/2016,14649330,0,4,0.2,a63a46f6c1285b42762b71b1de3f979f,166420011,0
57384,02/10/2016,16622000,0,10,0.2,64cd904de75856e2760661db85234b32,2514571011,0
57386,02/10/2016,16622000,0,10,0.2,64cd904de75856e2760661db85234b32,2489736011,0
57570,03/10/2016,16622000,0,10.15,0.22,64cd904de75856e2760661db85234b32,2514571011,0
57572,03/10/2016,16622000,0,10.15,0.22,64cd904de75856e2760661db85234b32,2489736011,0
67248,03/10/2016,10994208,0,17.89,0.4,8a5baf2b0068f8e71ca3807ace4effe9,375539011,0
67249,03/10/2016,10994208,0,17.89,0.4,8a5baf2b0068f8e71ca3807ace4effe9,2514571011,0
67751,03/10/2016,3534512,2,1,1,b3f49797cdc1d81a43bdd3f1c3424096,166050011,2
68049,03/10/2016,3541358,0,1,1,b633313fd6b0da7b3e6b4a702a366ada,293582011,0
68360,03/10/2016,3547846,1,1,1,aed5cb01adc8cdefe2ae7a142cd5cb65,2975414011,1
68681,03/10/2016,3557220,0,1,1,88dd6ab7d38a5f538d9d855ee559a8e9,166051011,0
68992,03/10/2016,5523224,0,1,1,c45f926a18737f229b0699929d8d67c9,166050011,0
71073,03/10/2016,3958751,0,8,0.22,5175dd9e27c80fb7bf4bf98c409413e0,166291011,0
74709,03/10/2016,5306825,0,2,0.62,3cb18bd7108de3a7199b215853271f6f,375539011,0
75048,03/10/2016,5350673,0,1,1,db33c2e7e97e054c47c572183debaac6,375539011,0
75387,03/10/2016,5392937,0,3,1,a28d5f139f45455a45d25441975a1f7e,375519011,0
75389,03/10/2016,5392937,0,3,1,a28d5f139f45455a45d25441975a1f7e,2491218011,0
76065,03/10/2016,5442713,0,2,0.55,e09a9e54e1a2f4bdd2ab7e2e0b5bb393,166040011,0
76404,03/10/2016,5454049,0,1,1,3e4c8a11cc088689a0804eae08a762b8,3244830011,0
